,model,mse,mape,mae
0,"VARI(3,1)",111041297125.0252,59.66817649364282,186130.25998583145
1,"VIMA(1,7)",108106254286.6278,59.53654804747557,181310.58963265113
2,"VARIMA(3,1,6)",100643312682.05734,60.2459557110844,172158.98694663218
3,"VARI(7,1) - rolling",35607114831.72951,59.46543166790854,105981.717433346
4,"VIMA(1,1) - rolling",28687072591.849396,47.131433164085635,95126.61748776227
5,"VARIMA(7,1,1) - rolling",40875201286.75708,52.311918053312226,109164.39650859681
