,model,mse,mape,mae
0,"VARI(9,1)",1286729509.4746325,58.74663254734847,14809.13464066153
1,"VIMA(1,1)",1537693431.3647678,57.50053006691612,16266.206155977205
2,"VARIMA(7,1,1)",1225540100.5131218,69.44807024465676,15232.377985872361
3,"VARI(7,1) - rolling",79484287.21114343,20.793195230580288,4602.437843199917
4,"VIMA(1,1) - rolling",94785533.24211383,19.16983123934123,4695.064452714483
5,"VARIMA(7,1,1) - rolling",119127644.58530702,20.447908042040368,5173.510242352451
