,Province/State,Country_Region,Last Update,Confirmed,Deaths,Recovered,Date,Latitude,Longitude,FIPS,Admin2,Province_State,Last_Update,Lat,Long_,Active,Combined_Key,Incidence_Rate,Case-Fatality_Ratio,Incident_Rate,Case_Fatality_Ratio
0,,India,1/30/20 16:00,1.0,,,2020-01-30,,,,,,,,,,,,,,
1,,India,1/31/2020 23:59,1.0,,,2020-01-31,,,,,,,,,,,,,,
2,,India,1/31/2020 8:15,1.0,0.0,0.0,2020-02-01,,,,,,,,,,,,,,
3,,India,2020-02-02T06:03:08,2.0,0.0,0.0,2020-02-02,,,,,,,,,,,,,,
4,,India,2020-02-03T21:43:02,3.0,0.0,0.0,2020-02-03,,,,,,,,,,,,,,
5,,India,2020-02-03T21:43:02,3.0,0.0,0.0,2020-02-04,,,,,,,,,,,,,,
6,,India,2020-02-03T21:43:02,3.0,0.0,0.0,2020-02-05,,,,,,,,,,,,,,
7,,India,2020-02-03T21:43:02,3.0,0.0,0.0,2020-02-06,,,,,,,,,,,,,,
8,,India,2020-02-03T21:43:02,3.0,0.0,0.0,2020-02-07,,,,,,,,,,,,,,
9,,India,2020-02-03T21:43:02,3.0,0.0,0.0,2020-02-08,,,,,,,,,,,,,,
10,,India,2020-02-03T21:43:02,3.0,0.0,0.0,2020-02-09,,,,,,,,,,,,,,
11,,India,2020-02-03T21:43:02,3.0,0.0,0.0,2020-02-10,,,,,,,,,,,,,,
12,,India,2020-02-03T21:43:02,3.0,0.0,0.0,2020-02-11,,,,,,,,,,,,,,
13,,India,2020-02-03T21:43:02,3.0,0.0,0.0,2020-02-12,,,,,,,,,,,,,,
14,,India,2020-02-13T18:53:02,3.0,0.0,0.0,2020-02-13,,,,,,,,,,,,,,
15,,India,2020-02-13T18:53:02,3.0,0.0,0.0,2020-02-14,,,,,,,,,,,,,,
16,,India,2020-02-13T18:53:02,3.0,0.0,0.0,2020-02-15,,,,,,,,,,,,,,
17,,India,2020-02-16T07:43:02,3.0,0.0,3.0,2020-02-16,,,,,,,,,,,,,,
18,,India,2020-02-16T07:43:02,3.0,0.0,3.0,2020-02-17,,,,,,,,,,,,,,
19,,India,2020-02-16T07:43:02,3.0,0.0,3.0,2020-02-18,,,,,,,,,,,,,,
20,,India,2020-02-16T07:43:02,3.0,0.0,3.0,2020-02-19,,,,,,,,,,,,,,
21,,India,2020-02-16T07:43:02,3.0,0.0,3.0,2020-02-20,,,,,,,,,,,,,,
22,,India,2020-02-16T07:43:02,3.0,0.0,3.0,2020-02-21,,,,,,,,,,,,,,
23,,India,2020-02-16T07:43:02,3.0,0.0,3.0,2020-02-22,,,,,,,,,,,,,,
24,,India,2020-02-16T07:43:02,3.0,0.0,3.0,2020-02-23,,,,,,,,,,,,,,
25,,India,2020-02-16T07:43:02,3.0,0.0,3.0,2020-02-24,,,,,,,,,,,,,,
26,,India,2020-02-16T07:43:02,3.0,0.0,3.0,2020-02-25,,,,,,,,,,,,,,
27,,India,2020-02-16T07:43:02,3.0,0.0,3.0,2020-02-26,,,,,,,,,,,,,,
28,,India,2020-02-16T07:43:02,3.0,0.0,3.0,2020-02-27,,,,,,,,,,,,,,
29,,India,2020-02-16T07:43:02,3.0,0.0,3.0,2020-02-28,,,,,,,,,,,,,,
30,,India,2020-02-16T07:43:02,3.0,0.0,3.0,2020-02-29,,,,,,,,,,,,,,
31,,India,2020-02-16T07:43:02,3.0,0.0,3.0,2020-03-01,21.0,78.0,,,,,,,,,,,,
32,,India,2020-03-02T22:33:09,5.0,0.0,3.0,2020-03-02,21.0,78.0,,,,,,,,,,,,
33,,India,2020-03-02T22:33:09,5.0,0.0,3.0,2020-03-03,21.0,78.0,,,,,,,,,,,,
34,,India,2020-03-04T12:33:03,28.0,0.0,3.0,2020-03-04,21.0,78.0,,,,,,,,,,,,
35,,India,2020-03-05T13:53:03,30.0,0.0,3.0,2020-03-05,21.0,78.0,,,,,,,,,,,,
36,,India,2020-03-06T13:03:12,31.0,0.0,3.0,2020-03-06,21.0,78.0,,,,,,,,,,,,
37,,India,2020-03-07T18:13:27,34.0,0.0,3.0,2020-03-07,21.0,78.0,,,,,,,,,,,,
38,,India,2020-03-08T09:23:05,39.0,0.0,3.0,2020-03-08,21.0,78.0,,,,,,,,,,,,
39,,India,2020-03-09T09:13:17,43.0,0.0,3.0,2020-03-09,21.0,78.0,,,,,,,,,,,,
40,,India,2020-03-10T10:13:28,56.0,0.0,4.0,2020-03-10,21.0,78.0,,,,,,,,,,,,
41,,India,2020-03-11T22:13:12,62.0,1.0,4.0,2020-03-11,21.0,78.0,,,,,,,,,,,,
42,,India,2020-03-12T08:33:13,73.0,1.0,4.0,2020-03-12,21.0,78.0,,,,,,,,,,,,
43,,India,2020-03-11T20:00:00,82.0,2.0,4.0,2020-03-13,20.5937,78.9629,,,,,,,,,,,,
44,,India,2020-03-14T20:33:03,102.0,2.0,4.0,2020-03-14,20.5937,78.9629,,,,,,,,,,,,
45,,India,2020-03-15T18:20:18,113.0,2.0,13.0,2020-03-15,20.5937,78.9629,,,,,,,,,,,,
46,,India,2020-03-16T14:38:45,119.0,2.0,13.0,2020-03-16,20.5937,78.9629,,,,,,,,,,,,
47,,India,2020-03-17T15:33:06,142.0,3.0,14.0,2020-03-17,20.5937,78.9629,,,,,,,,,,,,
48,,India,2020-03-18T13:33:12,156.0,3.0,14.0,2020-03-18,20.5937,78.9629,,,,,,,,,,,,
49,,India,2020-03-19T20:43:02,194.0,4.0,15.0,2020-03-19,20.5937,78.9629,,,,,,,,,,,,
50,,India,2020-03-20T15:13:21,244.0,5.0,20.0,2020-03-20,20.5937,78.9629,,,,,,,,,,,,
51,,India,2020-03-21T17:43:03,330.0,4.0,23.0,2020-03-21,20.5937,78.9629,,,,,,,,,,,,
52,,India,,396.0,7.0,24.0,2020-03-22,,,,,,3/22/20 23:45,20.593684,78.96288,365.0,India,,,,
53,,India,,499.0,10.0,34.0,2020-03-23,,,,,,2020-03-23 23:19:21,20.593684,78.96288,455.0,India,,,,
54,,India,,536.0,10.0,40.0,2020-03-24,,,,,,2020-03-24 23:37:15,20.593684,78.96288,486.0,India,,,,
55,,India,,657.0,12.0,43.0,2020-03-25,,,,,,2020-03-25 23:33:04,20.593684,78.96288,602.0,India,,,,
56,,India,,727.0,20.0,45.0,2020-03-26,,,,,,2020-03-26 23:48:18,20.593684,78.96288,662.0,India,,,,
57,,India,,887.0,20.0,73.0,2020-03-27,,,,,,2020-03-27 23:23:03,20.593684,78.96288,794.0,India,,,,
58,,India,,987.0,24.0,84.0,2020-03-28,,,,,,3/28/20 23:05,20.593684,78.96288,879.0,India,,,,
59,,India,,1024.0,27.0,95.0,2020-03-29,,,,,,3/29/20 23:08,20.593684,78.96288,902.0,India,,,,
60,,India,,1251.0,32.0,102.0,2020-03-30,,,,,,3/30/20 22:52,20.593684,78.96288,1117.0,India,,,,
61,,India,,1397.0,35.0,123.0,2020-03-31,,,,,,2020-03-31 23:43:43,20.593684,78.96288,1239.0,India,,,,
62,,India,,1998.0,58.0,148.0,2020-04-01,,,,,,2020-04-01 21:58:34,20.593684,78.96288,1792.0,India,,,,
63,,India,,2543.0,72.0,191.0,2020-04-02,,,,,,4/2/20 23:25,20.593684,78.96288,2280.0,India,,,,
64,,India,,2567.0,72.0,192.0,2020-04-03,,,,,,2020-04-03 22:46:20,20.593684,78.96288,2303.0,India,,,,
65,,India,,3082.0,86.0,229.0,2020-04-04,,,,,,4/4/20 23:34,20.593684,78.96288,2767.0,India,,,,
66,,India,,3588.0,99.0,229.0,2020-04-05,,,,,,2020-04-05 23:06:26,20.593684,78.96288,3260.0,India,,,,
67,,India,,4778.0,136.0,375.0,2020-04-06,,,,,,4/6/20 23:21,20.593684,78.96288,4267.0,India,,,,
68,,India,,5311.0,150.0,421.0,2020-04-07,,,,,,2020-04-07 23:04:29,20.593684,78.96288,4740.0,India,,,,
69,,India,,5916.0,178.0,506.0,2020-04-08,,,,,,2020-04-08 22:51:39,20.593684,78.96288,5232.0,India,,,,
70,,India,,6725.0,226.0,620.0,2020-04-09,,,,,,2020-04-09 23:02:19,20.593684,78.96288,5879.0,India,,,,
71,,India,,7598.0,246.0,774.0,2020-04-10,,,,,,2020-04-10 22:53:48,20.593684,78.96288,6578.0,India,,,,
72,,India,,8446.0,288.0,969.0,2020-04-11,,,,,,2020-04-11 22:45:13,20.593684,78.96288,7189.0,India,,,,
73,,India,,9205.0,331.0,1080.0,2020-04-12,,,,,,2020-04-12 23:17:00,20.593684,78.96288,7794.0,India,,,,
74,,India,,10453.0,358.0,1181.0,2020-04-13,,,,,,2020-04-13 23:07:34,20.593684,78.96288,8914.0,India,,,,
75,,India,,11487.0,393.0,1359.0,2020-04-14,,,,,,2020-04-14 23:33:12,20.593684,78.96288,9735.0,India,,,,
76,,India,,12322.0,405.0,1432.0,2020-04-15,,,,,,2020-04-15 22:56:32,20.593684,78.96288,10485.0,India,,,,
77,,India,,13430.0,448.0,1768.0,2020-04-16,,,,,,2020-04-16 23:30:31,20.593684,78.96288,11214.0,India,,,,
78,,India,,14352.0,486.0,2041.0,2020-04-17,,,,,,2020-04-17 23:30:32,20.593684,78.96288,11825.0,India,,,,
79,,India,,15722.0,521.0,2463.0,2020-04-18,,,,,,2020-04-18 22:32:28,20.593684,78.96288,12738.0,India,,,,
80,,India,,17615.0,559.0,2854.0,2020-04-19,,,,,,2020-04-19 23:40:41,20.593684,78.96288,14202.0,India,,,,
81,,India,,18539.0,592.0,3273.0,2020-04-20,,,,,,2020-04-20 23:36:27,20.593684,78.96288,14674.0,India,,,,
82,,India,,20080.0,645.0,3975.0,2020-04-21,,,,,,2020-04-21 23:30:30,20.593684,78.96288,15460.0,India,,,,
83,,India,,21370.0,681.0,4370.0,2020-04-22,,,,,,2020-04-22 23:30:32,20.593684,78.96288,16319.0,India,,,,
84,,India,,23077.0,721.0,5012.0,2020-04-23,,,,,,2020-04-24 03:30:31,20.593684,78.96288,17344.0,India,,,,
85,,India,,24530.0,780.0,5498.0,2020-04-24,,,,,,2020-04-25 06:30:33,20.593684,78.96288,18252.0,India,,,,
86,,India,,26283.0,825.0,5939.0,2020-04-25,,,,,,2020-04-26 02:30:31,20.593684,78.96288,19519.0,India,,,,
87,,India,,27890.0,881.0,6523.0,2020-04-26,,,,,,2020-04-27 02:30:33,20.593684,78.96288,20486.0,India,,,,
88,,India,,29451.0,939.0,7137.0,2020-04-27,,,,,,2020-04-28 02:30:32,20.593684,78.96288,21375.0,India,,,,
89,,India,,31324.0,1008.0,7747.0,2020-04-28,,,,,,2020-04-29 02:32:29,20.593684,78.96288,22569.0,India,,,,
90,,India,,33062.0,1079.0,8437.0,2020-04-29,,,,,,2020-04-30 02:32:27,20.593684,78.96288,23546.0,India,,,,
91,,India,,34863.0,1154.0,9068.0,2020-04-30,,,,,,2020-05-01 02:32:28,20.593684,78.96288,24641.0,India,,,,
92,,India,,37257.0,1223.0,10007.0,2020-05-01,,,,,,2020-05-02 02:32:27,20.593684,78.96288,26027.0,India,,,,
93,,India,,39699.0,1323.0,10819.0,2020-05-02,,,,,,2020-05-03 02:32:28,20.593684,78.96288,27557.0,India,,,,
94,,India,,42505.0,1391.0,11775.0,2020-05-03,,,,,,2020-05-04 02:32:28,20.593684,78.96288,29339.0,India,,,,
95,,India,,46437.0,1566.0,12847.0,2020-05-04,,,,,,2020-05-05 02:32:34,20.593684,78.96288,32024.0,India,,,,
96,,India,,49400.0,1693.0,14142.0,2020-05-05,,,,,,2020-05-06 02:32:31,20.593684,78.96288,33565.0,India,,,,
97,,India,,52987.0,1785.0,15331.0,2020-05-06,,,,,,2020-05-07 02:32:28,20.593684,78.96288,35871.0,India,,,,
98,,India,,56351.0,1889.0,16776.0,2020-05-07,,,,,,2020-05-08 02:32:32,20.593684,78.96288,37686.0,India,,,,
99,,India,,59695.0,1985.0,17887.0,2020-05-08,,,,,,2020-05-09 02:32:35,20.593684,78.96288,39823.0,India,,,,
