iso_code,entity,year,population,source
PYF,French Polynesia,2021,282534,https://population.un.org/wpp/Download/Standard/CSV/
GAB,Gabon,2021,2278829,https://population.un.org/wpp/Download/Standard/CSV/
GMB,Gambia,2021,2486937,https://population.un.org/wpp/Download/Standard/CSV/
GEO,Georgia,2021,3979773,https://population.un.org/wpp/Download/Standard/CSV/
DEU,Germany,2021,83900471,https://population.un.org/wpp/Download/Standard/CSV/
GHA,Ghana,2021,31732128,https://population.un.org/wpp/Download/Standard/CSV/
GIB,Gibraltar,2021,33691,https://population.un.org/wpp/Download/Standard/CSV/
GRC,Greece,2021,10370747,https://population.un.org/wpp/Download/Standard/CSV/
GRL,Greenland,2021,56868,https://population.un.org/wpp/Download/Standard/CSV/
GRD,Grenada,2021,113015,https://population.un.org/wpp/Download/Standard/CSV/
GUM,Guam,2021,170184,https://population.un.org/wpp/Download/Standard/CSV/
GTM,Guatemala,2021,18249868,https://population.un.org/wpp/Download/Standard/CSV/
GGY,Guernsey,2021,63385,https://www.gov.gg/population
GIN,Guinea,2021,13497237,https://population.un.org/wpp/Download/Standard/CSV/
GNB,Guinea-Bissau,2021,2015490,https://population.un.org/wpp/Download/Standard/CSV/
GUY,Guyana,2021,790329,https://population.un.org/wpp/Download/Standard/CSV/
HTI,Haiti,2021,11541683,https://population.un.org/wpp/Download/Standard/CSV/
OWID_HIC,High income,2021,1214930230,https://data.worldbank.org/indicator/SP.POP.TOTL?locations=XM-XD-XT-XN
HND,Honduras,2021,10062994,https://population.un.org/wpp/Download/Standard/CSV/
HKG,Hong Kong,2021,7552800,https://population.un.org/wpp/Download/Standard/CSV/
HUN,Hungary,2021,9634162,https://population.un.org/wpp/Download/Standard/CSV/
ISL,Iceland,2021,368792,https://www.statice.is/publications/news-archive/inhabitants/the-population-on-january-1st-2021/
IND,India,2021,1393409033,https://population.un.org/wpp/Download/Standard/CSV/
IDN,Indonesia,2021,276361788,https://population.un.org/wpp/Download/Standard/CSV/
IRN,Iran,2021,85028760,https://population.un.org/wpp/Download/Standard/CSV/
IRQ,Iraq,2021,41179351,https://population.un.org/wpp/Download/Standard/CSV/
IRL,Ireland,2021,4982904,https://population.un.org/wpp/Download/Standard/CSV/
IMN,Isle of Man,2021,85410,https://population.un.org/wpp/Download/Standard/CSV/
ISR,Israel,2021,9291000,https://www.cbs.gov.il/en/mediarelease/Pages/2020/Population-of-Israel-on-the-Eve-of-2021.aspx
