date,Total_Doses
2021-08-24,298798.25
2021-08-25,149399.125
2021-08-26,74699.5625
2021-08-27,37349.78125
2021-08-28,37349.78125
2021-08-29,1914770.0
2021-08-30,1378433.0
2021-08-31,1309327.0
2021-09-01,2146480.0
2021-09-02,1680446.0
2021-09-03,2810951.0
2021-09-04,1964355.0
2021-09-05,1523658.0
2021-09-06,761829.0
2021-09-07,761829.0
2021-09-08,1878456.0
2021-09-09,1354585.0
2021-09-10,1913544.0
2021-09-11,1820199.0
2021-09-12,3574320.5
2021-09-13,1787160.25
2021-09-14,893580.125
2021-09-15,446790.0625
2021-09-16,446790.0625
2021-09-17,1920190.0
2021-09-18,1844166.0
2021-09-19,3390536.75
2021-09-20,1695268.375
2021-09-21,847634.1875
2021-09-22,423817.09375
2021-09-23,211908.546875
2021-09-24,105954.2734375
2021-09-25,52977.13671875
2021-09-26,26488.568359375
2021-09-27,13244.2841796875
2021-09-28,13244.2841796875
2021-09-29,17479847.5
2021-09-30,1874152.0
2021-10-01,432705.0
2021-10-02,216352.5
2021-10-03,108176.25
2021-10-04,54088.125
2021-10-05,27044.0625
2021-10-06,27044.0625
2021-10-07,1777618.0
2021-10-08,5047253.0
2021-10-09,2321346.0
2021-10-10,1769478.0
2021-10-11,884739.0
2021-10-12,884739.0
